keywords,context,generated,text
phone#shirt#sidewalk#talk#walk,I was having a conversation with a friend of mine on my cell. I was taking a stroll browsing a farmers market that they set up. I saw stand with some funny Memes on articles of clothing that I knew she would like.,I walked up to her and talked to her for a few minutes on the phone about the shirt. She went on the sidewalk. I went back to my phone,I was having a conversation with a friend of mine on my cell. I was taking a stroll browsing a farmers market that they set up. I saw stand with some funny Memes on articles of clothing that I knew she would like. I walked up to her and talked to her for a few minutes on the phone about the shirt. She went on the sidewalk. I went back to my phone
bench#husband#sit#wife,"It had been an overcast, gloomy day, and I used the opportunity to read quietly by myself at the park. No one was around, and for awhile I fell into my book, but my concentration was broken when I saw two figures emerge from the woods. I silently prayed they would move on and leave me alone.",My wife sat on the bench beside me with her husband. My son was far away. My husband was gone. I was scared. I went back inside.,"It had been an overcast, gloomy day, and I used the opportunity to read quietly by myself at the park. No one was around, and for awhile I fell into my book, but my concentration was broken when I saw two figures emerge from the woods. I silently prayed they would move on and leave me alone. My wife sat on the bench beside me with her husband. My son was far away. My husband was gone. I was scared. I went back inside."
follow#series#voice,The show came on the television with people singing. The family all gathered to watch. They all became silent when the show came on.,They followed the voice of the TV series. They did not follow it. They were silent. They voiced their own voices. They never followed it. It was,The show came on the television with people singing. The family all gathered to watch. They all became silent when the show came on. They followed the voice of the TV series. They did not follow it. They were silent. They voiced their own voices. They never followed it. It was
paint#paint#spray#wall#word,I love going to inner cities because of the great art scene. Many of the buildings are covered in beautiful colors by a variety of amazing artists. There are some that have been vandalize with vulgar sayings that I don't appreciate.,I paint over the graffiti with paint spray painted on the walls. Now I paint my own word. Now it is no longer graffiti. Now you can paint.,I love going to inner cities because of the great art scene. Many of the buildings are covered in beautiful colors by a variety of amazing artists. There are some that have been vandalize with vulgar sayings that I don't appreciate. I paint over the graffiti with paint spray painted on the walls. Now I paint my own word. Now it is no longer graffiti. Now you can paint.
blow#bubble#wand,The kids enjoyed the party at the park. They all ran around and played. They jumped in the air and laughed as their parents looked on happily.,They blew bubbles with their wand. It was amazing. They were so happy. They went back inside. The bubbles were gone. They did not bubble again.,The kids enjoyed the party at the park. They all ran around and played. They jumped in the air and laughed as their parents looked on happily. They blew bubbles with their wand. It was amazing. They were so happy. They went back inside. The bubbles were gone. They did not bubble again.
cafe#coffee#drink,"I always crave a nice, warm glass of caffeine after a long of work. I typically visit a particular spot on the square. My order is always the same, so the employees just ask me if I would like my usual.","I drink coffee from the cafe. Now, I'm happy. Now I'm tired. Now it's time for me to go home. Now! Now!","I always crave a nice, warm glass of caffeine after a long of work. I typically visit a particular spot on the square. My order is always the same, so the employees just ask me if I would like my usual. I drink coffee from the cafe. Now, I'm happy. Now I'm tired. Now it's time for me to go home. Now! Now!"
bottle#sit#table,Sam sat and counted the empty soldiers in front of him. He had been in the bar all day long. Sam had never experienced a break up quite like this one and it was bad.,Sam sat down at the table and he went over to the bottle. He went straight to the table. He sat there. Sam went home. Sam did not,Sam sat and counted the empty soldiers in front of him. He had been in the bar all day long. Sam had never experienced a break up quite like this one and it was bad. Sam sat down at the table and he went over to the bottle. He went straight to the table. He sat there. Sam went home. Sam did not
hood#laptop#sweatshirt#use#wear,"Cara threw on her clothing in a rush before she walked out the door. As she sat down in class, she realized that she forgot her computer bag at home. Cara was disgusted with herself and took the notes the best she could with pen and paper.",She used her laptop to wear her hoodie. Now that she was done with her sweatshirt. She went back to her laptop. She was ready. She,"Cara threw on her clothing in a rush before she walked out the door. As she sat down in class, she realized that she forgot her computer bag at home. Cara was disgusted with herself and took the notes the best she could with pen and paper. She used her laptop to wear her hoodie. Now that she was done with her sweatshirt. She went back to her laptop. She was ready. She"
couple#fall#tree#walk,"The forest looked old to me. The paths were nice though, and easy. I was startled when I started hearing a crackling noise.","A couple of trees fell, and I walked backwards. A tree fell right next to me! I was scared! I went back. I couldn't fall!","The forest looked old to me. The paths were nice though, and easy. I was startled when I started hearing a crackling noise. A couple of trees fell, and I walked backwards. A tree fell right next to me! I was scared! I went back. I couldn't fall!"
hill#sky#top,"The trail up the mountain was beautiful, yet rugged. We were glad that we had packed extra bottles of water. When we got to the summit, we looked around at the beautiful view below us.","The top of the hill was topped with a sky full of clouds. It was amazing! Now, we were going to go back down. Now! Now!","The trail up the mountain was beautiful, yet rugged. We were glad that we had packed extra bottles of water. When we got to the summit, we looked around at the beautiful view below us. The top of the hill was topped with a sky full of clouds. It was amazing! Now, we were going to go back down. Now! Now!"
bench#lay#lift,Henry was sweating but felt good. He got a drink of water. He did some stretches as well.,"He laid down on the bench and lifted up. He went back home. When he was done, he went back to bed. He was very proud. He","Henry was sweating but felt good. He got a drink of water. He did some stretches as well. He laid down on the bench and lifted up. He went back home. When he was done, he went back to bed. He was very proud. He"
bucket#chew#fence#front#nail,The house looked broken down. There was a shabby looking lawn. There was no sign of the dog.,"The fence had been chewed up and the front of the shed was broken in two, with a huge dent in the back of the bucket. The front of","The house looked broken down. There was a shabby looking lawn. There was no sign of the dog. The fence had been chewed up and the front of the shed was broken in two, with a huge dent in the back of the bucket. The front of"
dance#hat#music#wear,Fred showed up at the club and got compliments. He gained entry from the person at the front. He met a friend in there and they had a great time.,"He wore a dance music hat. He went back home. He was happy. Now, he was happier. Now he was going to be free. Now!","Fred showed up at the club and got compliments. He gained entry from the person at the front. He met a friend in there and they had a great time. He wore a dance music hat. He went back home. He was happy. Now, he was happier. Now he was going to be free. Now!"
floor#stand#tip,"Waiters and waitresses have tough jobs. They are always moving around and are constantly on their feet. That's why whenever you go out and get something to eat, you need to reward them with a good amount of gratuity for their services.","But when it's time to stand on the tip floor, it is hard. It's hard to stand up straight. It is hard to do everything right.","Waiters and waitresses have tough jobs. They are always moving around and are constantly on their feet. That's why whenever you go out and get something to eat, you need to reward them with a good amount of gratuity for their services. But when it's time to stand on the tip floor, it is hard. It's hard to stand up straight. It is hard to do everything right."
cloud#create#worker,"It was a lovely, partly sunny day, and he was enjoying his walk in the park. Ahead there was a clearing with what looked like a group of artists gathered around easels. A Parks Department employee stood by, looking somewhat bored.",The worker had created a cloud. Now it was hard to see. It was hard for him to see because he was too far away. He was so far,"It was a lovely, partly sunny day, and he was enjoying his walk in the park. Ahead there was a clearing with what looked like a group of artists gathered around easels. A Parks Department employee stood by, looking somewhat bored. The worker had created a cloud. Now it was hard to see. It was hard for him to see because he was too far away. He was so far"
build#house#playing,The boy hammered a nail into the wood of the door. The structure was coming along nicely. Soon he and his friends could spend time together inside.,They were building a new playing house. It was hard to go back. Now it was too late. They all went home. Now they were alone. Now,The boy hammered a nail into the wood of the door. The structure was coming along nicely. Soon he and his friends could spend time together inside. They were building a new playing house. It was hard to go back. Now it was too late. They all went home. Now they were alone. Now
bike#jacket#jean#ride#shoe,Gary had just saved up enough to buy a Harley. The man at the shop said that he needed protective gear when he went riding. Gary left the shop with a bag full of black clothing for riding.,He rode his bike to his new jacket and jeans. Gary was proud of his new suit. Gary's new shoes were blue. Gary went back home. Gary,Gary had just saved up enough to buy a Harley. The man at the shop said that he needed protective gear when he went riding. Gary left the shop with a bag full of black clothing for riding. He rode his bike to his new jacket and jeans. Gary was proud of his new suit. Gary's new shoes were blue. Gary went back home. Gary
bandage#foot#glove#wear#wrap,My friend hurt her ankle this weekend when we were playing soccer. Luckily someone was there to be able to take care of it and we didn't need to go to the hospital. They had everything they needed in order to secure the ankle and make sure it didn't get any worse.,The bandage wrapped around her foot and she wore a glove. Now she is fine. Her foot is still swollen. She is now. Now. Now!,My friend hurt her ankle this weekend when we were playing soccer. Luckily someone was there to be able to take care of it and we didn't need to go to the hospital. They had everything they needed in order to secure the ankle and make sure it didn't get any worse. The bandage wrapped around her foot and she wore a glove. Now she is fine. Her foot is still swollen. She is now. Now. Now!
bless#mother#say#sneeze,Abby wasn't feeling great and her parents decided that she needed to spend the day in her bed. They gave here allergy medicine which cleared up most of her symptoms. Abby was feeling much better and able to go to school the next day.,Her mother said she was allergic to sneezing. Now Abby is allergic to snails. Now her mother is happy. Abby is happy! Now Abby's,Abby wasn't feeling great and her parents decided that she needed to spend the day in her bed. They gave here allergy medicine which cleared up most of her symptoms. Abby was feeling much better and able to go to school the next day. Her mother said she was allergic to sneezing. Now Abby is allergic to snails. Now her mother is happy. Abby is happy! Now Abby's
faucet#hand#rub#turn#water,The room was filled with steam. Sam went into the tub. He put bubbles in it and laughed.,He turned the water on to his hand and rubbed his faucet. It was cold. The water was cold! It was hot! He turned off the,The room was filled with steam. Sam went into the tub. He put bubbles in it and laughed. He turned the water on to his hand and rubbed his faucet. It was cold. The water was cold! It was hot! He turned off the
clean#gutter#house,They had noticed water streaming down the sides of their external walls every time it rained heavily. They were sure they could fix the problem themselves but weren't quite certain of what to do so they called up a local tradesman for advice. He came up with a number of potential reasons as to why they might be having the issue and they decided to ask him round for a quote to check on the most obvious solutions.,It was then that the house was cleaned by a gutter-cleaning company. They went through the whole house. Now they were glad they had done.,They had noticed water streaming down the sides of their external walls every time it rained heavily. They were sure they could fix the problem themselves but weren't quite certain of what to do so they called up a local tradesman for advice. He came up with a number of potential reasons as to why they might be having the issue and they decided to ask him round for a quote to check on the most obvious solutions. It was then that the house was cleaned by a gutter-cleaning company. They went through the whole house. Now they were glad they had done.
fall#net#practice#trapeze,Robby sailed in the air high above the crowds. He was no longer afraid of tumbling the great lengths to the hard ground below. The circus was his life and he had done this for too long to be afraid.,He practiced his nettle fall trapeze every day. Now it was time. Now was now. Now. Now! Now! It was now! Now,Robby sailed in the air high above the crowds. He was no longer afraid of tumbling the great lengths to the hard ground below. The circus was his life and he had done this for too long to be afraid. He practiced his nettle fall trapeze every day. Now it was time. Now was now. Now. Now! Now! It was now! Now
dog#scrub#soap#water,"Tom brought Bean to the dog park. They played frisbee for awhile, and Bean ended up running through mud. When they got home, Tom noticed Bean was covered in dirt.","He scrubbed the dog with soap and water. The next day, Bean was fine. Tom was happy. Now, it was hot! Now, everyone was","Tom brought Bean to the dog park. They played frisbee for awhile, and Bean ended up running through mud. When they got home, Tom noticed Bean was covered in dirt. He scrubbed the dog with soap and water. The next day, Bean was fine. Tom was happy. Now, it was hot! Now, everyone was"
basket#basketball#shoot,It was the night of the big state finals game and Cameron was on the court. He dribbled the ball and looked toward the other players. Cameron tossed the ball toward the goal and watched as it sailed and bounced against the backboard.,The basketball was shot! Cameron was ecstatic! He was proud! He went to the basketball. He was happy! Now he was going to shoot it! Now,It was the night of the big state finals game and Cameron was on the court. He dribbled the ball and looked toward the other players. Cameron tossed the ball toward the goal and watched as it sailed and bounced against the backboard. The basketball was shot! Cameron was ecstatic! He was proud! He went to the basketball. He was happy! Now he was going to shoot it! Now
ball#field#kid,I know what I'd be doing on the weekends if I was a parent. My child would be competing in some kind of sports. I'd be sitting there with all the other parents watching them run around and act silly.,"The kids would be balling out in the field. Now, it's hard for me to do that! Now, I'm very proud. Now I'm","I know what I'd be doing on the weekends if I was a parent. My child would be competing in some kind of sports. I'd be sitting there with all the other parents watching them run around and act silly. The kids would be balling out in the field. Now, it's hard for me to do that! Now, I'm very proud. Now I'm"
couple#dance#music#room#watch,One of the most enjoyable parts of a wedding is the reception. You going to this large area and just enjoy yourself with food and tunes. You get to sit back and relax and look at everybody enjoyed themselves to the tunes by shaking their booties.,A couple of the music rooms we went to watch the dance. It was great. The music was nice. The dance was good. Now I'm going to,One of the most enjoyable parts of a wedding is the reception. You going to this large area and just enjoy yourself with food and tunes. You get to sit back and relax and look at everybody enjoyed themselves to the tunes by shaking their booties. A couple of the music rooms we went to watch the dance. It was great. The music was nice. The dance was good. Now I'm going to
dance#music#watch,He had a fun time at the party. He met his girlfriend. They had a large screen in the front of the auditorium for the movie.,They watched the music and dance. They both went home happy. They went to the music. They were both happy. Now they were going to watch the music,He had a fun time at the party. He met his girlfriend. They had a large screen in the front of the auditorium for the movie. They watched the music and dance. They both went home happy. They went to the music. They were both happy. Now they were going to watch the music
blow#pipe#smoke#smoke,My neighbor is always enjoying his weed outside. Most of the times he uses a blunt but other times he uses a special wooden object. I make sure that I sit in a certain area because I don't want to inhale any of it or to be directly in the direction of where he exhales.,"He smoke his pipe while smoking and blows smoke everywhere. Now, I smoke. Now I smoke! Now i smoke! I smoke again! Now! Now I","My neighbor is always enjoying his weed outside. Most of the times he uses a blunt but other times he uses a special wooden object. I make sure that I sit in a certain area because I don't want to inhale any of it or to be directly in the direction of where he exhales. He smoke his pipe while smoking and blows smoke everywhere. Now, I smoke. Now I smoke! Now i smoke! I smoke again! Now! Now I"
kite#ride#snowboard,I want to go to the ski slopes. But it's only June. I guess I will go to the park and take advantage of the windy day instead.,"I can ride the snowboard and the kite. Now, I'm going to go back home. Now. Now! Now! I'll ride again!","I want to go to the ski slopes. But it's only June. I guess I will go to the park and take advantage of the windy day instead. I can ride the snowboard and the kite. Now, I'm going to go back home. Now. Now! Now! I'll ride again!"
read#table#toddler,Al was with his son since his wife went to go get a neck massage. Al was bored and suddenly his son started crying for his mother. Al was concerned and felt scared about what to do next.,"He readied his toddler for a table. He went back home. A few minutes later, he went back again. Now he was scared. Now, he","Al was with his son since his wife went to go get a neck massage. Al was bored and suddenly his son started crying for his mother. Al was concerned and felt scared about what to do next. He readied his toddler for a table. He went back home. A few minutes later, he went back again. Now he was scared. Now, he"
bench#sit#traffic#watch,"I love going to the beach to just chill out in area by the seats and enjoy the view. It's normally pretty crowded on the boardwalk with people walking, cycling and exercising. It's like being on the highway at rush-hour.",I sat on a bench and watched traffic go by. I'm glad I went! Now I can go back there again. Now I'll be safe. Now,"I love going to the beach to just chill out in area by the seats and enjoy the view. It's normally pretty crowded on the boardwalk with people walking, cycling and exercising. It's like being on the highway at rush-hour. I sat on a bench and watched traffic go by. I'm glad I went! Now I can go back there again. Now I'll be safe. Now"
background#body#movement#music#perform,The stage was filled with people. James had a great time and held his wife's hand. The auditorium was filled with splendour.,The music and the movement of the body were performed in the background. James was happy. He was proud. Now he was going to do it again. Now,The stage was filled with people. James had a great time and held his wife's hand. The auditorium was filled with splendour. The music and the movement of the body were performed in the background. James was happy. He was proud. Now he was going to do it again. Now
end#pool#reach#swim,The olympics had been a huge success for the entire GB team. In particular the aquatics team had performed exceptionally. The final day of competition left a lot in the balance.,"By the end of the swimming pool, it was clear that the swimmer with the best chance to reach the gold medal was the silver medalist. It was","The olympics had been a huge success for the entire GB team. In particular the aquatics team had performed exceptionally. The final day of competition left a lot in the balance. By the end of the swimming pool, it was clear that the swimmer with the best chance to reach the gold medal was the silver medalist. It was"
bike#listen#music#ride,I think I'm going to hop on my huffy and go for a stroll. It's not too far to get to the beach from my house. It's going to be a lot more enjoyable if I bring some tunes with me.,"I'll listen to my favorite music while I ride my bike. I'm really happy. Now, I can go back to my old life. Now I can","I think I'm going to hop on my huffy and go for a stroll. It's not too far to get to the beach from my house. It's going to be a lot more enjoyable if I bring some tunes with me. I'll listen to my favorite music while I ride my bike. I'm really happy. Now, I can go back to my old life. Now I can"
cross#eye#nose#touch,The doctor didn't know what was wrong with Billy's sight. He passed a finger in front of Billy's face and told him to follow it. The doctor wrote down several things on his notepad before ordering more tests.,Billy crossed his eyes and touched his nose. Billy's nose was red. Billy was scared. Billy went back home. He went back to his eyes. Billy,The doctor didn't know what was wrong with Billy's sight. He passed a finger in front of Billy's face and told him to follow it. The doctor wrote down several things on his notepad before ordering more tests. Billy crossed his eyes and touched his nose. Billy's nose was red. Billy was scared. Billy went back home. He went back to his eyes. Billy
balloon#fill#throw#water,Angelina was at party. It was a hot sunny day and the kids where having so much fun throwing bright colored objects at each other. Angelina chucked a round object at her friends face and exploded on impact.,The ball filled the water and she was thrown back. She was so happy. Luckily she was able to get back up. She did not go home. She,Angelina was at party. It was a hot sunny day and the kids where having so much fun throwing bright colored objects at each other. Angelina chucked a round object at her friends face and exploded on impact. The ball filled the water and she was thrown back. She was so happy. Luckily she was able to get back up. She did not go home. She
back#cowboy#horse#throw,"The gates opened and Steven and his ride rushed out into the open arena. The young calf jetted out several feet in front of him, but Steven knew he had him. He pulled out his lasso and began to twirl it around his head.",The horse backed away and threw its head back. Now it was time for the cowboy. Now! Steven! Now! And it was too late! Now it,"The gates opened and Steven and his ride rushed out into the open arena. The young calf jetted out several feet in front of him, but Steven knew he had him. He pulled out his lasso and began to twirl it around his head. The horse backed away and threw its head back. Now it was time for the cowboy. Now! Steven! Now! And it was too late! Now it"
father#picture#son,Tom was excited for the birth of his first born male child. His mother pulled out the camera and told Tom to hold the baby. No image could capture the happiness that Tom felt at that moment.,"His father's son was a great picture. Now, Tom's son is an amazing picture. His son is very happy. Now Tom is proud! Now Tom","Tom was excited for the birth of his first born male child. His mother pulled out the camera and told Tom to hold the baby. No image could capture the happiness that Tom felt at that moment. His father's son was a great picture. Now, Tom's son is an amazing picture. His son is very happy. Now Tom is proud! Now Tom"
crowd#perform#skateboard#trick#watch,One fine evening I was go to the ground attached with children's park. There I saw many of them were playing different games and some of them were practicing dance and one magician showed his magic to people. I felt really relaxed and I spend little time there and I return to home.,Now I can perform in the skateboard trick and watch the crowd. Now i can watch TV. Now it is good. Now we can do skateboard tricks,One fine evening I was go to the ground attached with children's park. There I saw many of them were playing different games and some of them were practicing dance and one magician showed his magic to people. I felt really relaxed and I spend little time there and I return to home. Now I can perform in the skateboard trick and watch the crowd. Now i can watch TV. Now it is good. Now we can do skateboard tricks
bike#fall#ramp#ride,I got up early in the morning to watch the Olympics. The reason I got up early is because it is taking place in Japan and it is about 12 hours ahead of us. I wanted to watch the BMX competition because I was excited to see the riders perform.,I rode my bike to the ramp and fell off. I was scared. I did not fall off. My bike was fine. I went back home. I,I got up early in the morning to watch the Olympics. The reason I got up early is because it is taking place in Japan and it is about 12 hours ahead of us. I wanted to watch the BMX competition because I was excited to see the riders perform. I rode my bike to the ramp and fell off. I was scared. I did not fall off. My bike was fine. I went back home. I
lady#look#shirt#wear,Sometimes you just have to marvel at the amazing appearance of women. They can have on the simplest outfits. There's just something about a female that is sexy no matter what they have on.,The ladies look like they're wearing their favorite t-shirt. The perfect shirt. Now you're going to do it. Now. Now! Now! You,Sometimes you just have to marvel at the amazing appearance of women. They can have on the simplest outfits. There's just something about a female that is sexy no matter what they have on. The ladies look like they're wearing their favorite t-shirt. The perfect shirt. Now you're going to do it. Now. Now! Now! You
picture#pose#street#walk,"Matthew was out and about in the neighborhood. He saw a beautiful art work on a wall, he stopped and paused. Then continued on his way.",He walked past pictures of his favorite street artists and poseurs. A few minutes later he was back. He was amazed! He walked around again. Now he,"Matthew was out and about in the neighborhood. He saw a beautiful art work on a wall, he stopped and paused. Then continued on his way. He walked past pictures of his favorite street artists and poseurs. A few minutes later he was back. He was amazed! He walked around again. Now he"
paper#snow#stand,Mary was given a sheet by John. On it there was pictures of mountains during winter. The mountain was drawn well and rose from the west of a valley.,The paper was standing on the snow. Mary was very happy. She went up to it. Now it was snowing hard. Now she stood there. Now,Mary was given a sheet by John. On it there was pictures of mountains during winter. The mountain was drawn well and rose from the west of a valley. The paper was standing on the snow. Mary was very happy. She went up to it. Now it was snowing hard. Now she stood there. Now
machine#piece#pipe#put#stand,The show was great. James smoked a lot while we were there. We all laughed at the comedian as he spoke.,He put a piece of pipe in his machine and stood there smoking it. It was awesome. The machine was so loud. I couldn't put it down.,The show was great. James smoked a lot while we were there. We all laughed at the comedian as he spoke. He put a piece of pipe in his machine and stood there smoking it. It was awesome. The machine was so loud. I couldn't put it down.
cheer#crowd#field#game,John and Alice were enthralled as the anticipation in the stadium built. As they looked around at the other spectators they could feel an electricity building. The players were responding on the pitch.,The crowd was cheering in the field of the game. The game was going well. Now it was going to be great! The crowd went crazy. The fans,John and Alice were enthralled as the anticipation in the stadium built. As they looked around at the other spectators they could feel an electricity building. The players were responding on the pitch. The crowd was cheering in the field of the game. The game was going well. Now it was going to be great! The crowd went crazy. The fans
building#color#light#sunset#view,"They looked out of the window of their penthouse, city flat towards the horizon. Evening was approaching and they loved this time of day because of what this opportunity offered. The skies were clear today and it was the perfect time to enjoy their surroundings.",The sunset lit the sky with bright colors and the buildings were lit up with bright sunlight. The view was beautiful. The sun was bright. The sky was bright,"They looked out of the window of their penthouse, city flat towards the horizon. Evening was approaching and they loved this time of day because of what this opportunity offered. The skies were clear today and it was the perfect time to enjoy their surroundings. The sunset lit the sky with bright colors and the buildings were lit up with bright sunlight. The view was beautiful. The sun was bright. The sky was bright"
bottle#drink#floor#milk#sit,Sam was at home and he was very thirsty. He went to open the fridge to see if there was anything that could quench his thirst. Sam immediately saw the one thing that would instantly do the trick.,He sat down and drank from the bottle of milk. Sam was so happy. He never drank anything else. Now he was able to drink from the floor.,Sam was at home and he was very thirsty. He went to open the fridge to see if there was anything that could quench his thirst. Sam immediately saw the one thing that would instantly do the trick. He sat down and drank from the bottle of milk. Sam was so happy. He never drank anything else. Now he was able to drink from the floor.
blow#head#nose#teapot#wear,John laid in the bed sick. His nose was running. His wife was making him a remedy to feel better.,His head was blown off by a teapot when he was wearing his nose. His eyes were swollen shut. His mouth was swollen. His ears were swollen,John laid in the bed sick. His nose was running. His wife was making him a remedy to feel better. His head was blown off by a teapot when he was wearing his nose. His eyes were swollen shut. His mouth was swollen. His ears were swollen
jump#leave#pile#rake,"The man is walking on the road along with his dog. Suddenly he saw a snake in front of his dog. There was a large number of people, and one had an instrument in his hand.",He jumped out and rammed it into the pile of leaves. He raked it with a rake. Then he went back home. He was very happy.,"The man is walking on the road along with his dog. Suddenly he saw a snake in front of his dog. There was a large number of people, and one had an instrument in his hand. He jumped out and rammed it into the pile of leaves. He raked it with a rake. Then he went back home. He was very happy."
drop#player#puck#referee#wait,"The third and final period was about to begin. Both teams stood poised and focused, ready for play to resume. Finally an official began to walk slowly over toward center ice.",The referee waited until the player dropped the puck. The player was given a penalty. The game was over. The puck was never dropped. The players went back,"The third and final period was about to begin. Both teams stood poised and focused, ready for play to resume. Finally an official began to walk slowly over toward center ice. The referee waited until the player dropped the puck. The player was given a penalty. The game was over. The puck was never dropped. The players went back"
